"filename", "language", "Python", "toml", "pip requirements", "JSON", "Ini", "comment", "blank", "total"
"/home/steven/Desktop/ml-api-demo/packages/ml_api/Pipfile", "toml", 0, 11, 0, 0, 0, 0, 4, 15
"/home/steven/Desktop/ml-api-demo/packages/ml_api/Pipfile.lock", "JSON", 0, 0, 0, 116, 0, 0, 1, 117
"/home/steven/Desktop/ml-api-demo/packages/ml_api/api/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/ml_api/api/app.py", "Python", 7, 0, 0, 0, 0, 2, 4, 13
"/home/steven/Desktop/ml-api-demo/packages/ml_api/api/config.py", "Python", 18, 0, 0, 0, 0, 1, 5, 24
"/home/steven/Desktop/ml-api-demo/packages/ml_api/api/controller.py", "Python", 10, 0, 0, 0, 0, 0, 4, 14
"/home/steven/Desktop/ml-api-demo/packages/ml_api/run.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"/home/steven/Desktop/ml-api-demo/packages/neural_network_model/Pipfile", "toml", 0, 17, 0, 0, 0, 0, 4, 21
"/home/steven/Desktop/ml-api-demo/packages/neural_network_model/Pipfile.lock", "JSON", 0, 0, 0, 397, 0, 0, 1, 398
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/Pipfile", "toml", 0, 21, 0, 0, 0, 0, 4, 25
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/Pipfile.lock", "JSON", 0, 0, 0, 1184, 0, 0, 1, 1185
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/__init__.py", "Python", 10, 0, 0, 0, 0, 1, 4, 15
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/config/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/config/config.py", "Python", 22, 0, 0, 0, 0, 3, 8, 33
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/config/logging_config.py", "Python", 13, 0, 0, 0, 0, 7, 4, 24
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/datasets/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/datasets/testing/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/pipeline.py", "Python", 23, 0, 0, 0, 0, 1, 3, 27
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/predict.py", "Python", 22, 0, 0, 0, 0, 6, 8, 36
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/database_management.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/errors.py", "Python", 2, 0, 0, 0, 0, 2, 2, 6
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/features.py", "Python", 15, 0, 0, 0, 0, 4, 6, 25
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/local_data_management.py", "Python", 73, 0, 0, 0, 0, 34, 9, 116
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/preprocessors.py", "Python", 12, 0, 0, 0, 0, 1, 4, 17
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/test_mod.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/transform_target.py", "Python", 7, 0, 0, 0, 0, 2, 2, 11
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/processing/validation.py", "Python", 4, 0, 0, 0, 0, 2, 4, 10
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/train_pipeline.py", "Python", 17, 0, 0, 0, 0, 3, 7, 27
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/build/lib/simple_regression_demo/trained_models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/deprecated/run_regression_demo_from_package.py", "Python", 12, 0, 0, 0, 0, 0, 4, 16
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/requirements.txt", "pip requirements", 0, 0, 94, 0, 0, 0, 1, 95
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/setup.py", "Python", 46, 0, 0, 0, 0, 21, 14, 81
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/__init__.py", "Python", 10, 0, 0, 0, 0, 1, 4, 15
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/config/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/config/config.py", "Python", 22, 0, 0, 0, 0, 3, 8, 33
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/config/logging_config.py", "Python", 13, 0, 0, 0, 0, 7, 4, 24
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/datasets/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/datasets/testing/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/pipeline.py", "Python", 23, 0, 0, 0, 0, 1, 3, 27
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/predict.py", "Python", 22, 0, 0, 0, 0, 6, 8, 36
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/database_management.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/errors.py", "Python", 2, 0, 0, 0, 0, 2, 2, 6
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/features.py", "Python", 15, 0, 0, 0, 0, 4, 6, 25
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/local_data_management.py", "Python", 73, 0, 0, 0, 0, 34, 9, 116
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/preprocessors.py", "Python", 12, 0, 0, 0, 0, 1, 4, 17
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/test_mod.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/transform_target.py", "Python", 7, 0, 0, 0, 0, 2, 2, 11
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/validation.py", "Python", 4, 0, 0, 0, 0, 2, 4, 10
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/train_pipeline.py", "Python", 17, 0, 0, 0, 0, 3, 7, 27
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/trained_models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/tox.ini", "Ini", 0, 0, 0, 0, 20, 0, 5, 25
"Total", "-", 543, 49, 94, 1697, 20, 156, 191, 2750